Chimera compiler, version 0.1
Copyright © 2013 by Andres, Ian, Servio, ITESM CEM.
[66] {IDENTIFIER, "num", @(28, 20)}
[67] {DIV, "div", @(28, 24)}
[68] {INT_LITERAL, "2", @(28, 28)}
[69] {END_OF_EXPRESSION, ";", @(28, 29)}
[70] {IF, "if", @(29, 13)}
[71] {IDENTIFIER, "num", @(29, 16)}
[72] {EQUAL, "=", @(29, 20)}
[73] {INT_LITERAL, "0", @(29, 22)}
[74] {THEN, "then", @(29, 24)}
[75] {EXIT, "exit", @(29, 29)}
[76] {END_OF_EXPRESSION, ";", @(29, 33)}
[77] {END, "end", @(29, 35)}
[78] {END_OF_EXPRESSION, ";", @(29, 38)}
[79] {END, "end", @(30, 9)}
[80] {END_OF_EXPRESSION, ";", @(30, 12)}
[81] {RETURN, "return", @(32, 9)}
[82] {IDENTIFIER, "result", @(32, 16)}
[83] {END_OF_EXPRESSION, ";", @(32, 22)}
[84] {END, "end", @(33, 5)}
[85] {END_OF_EXPRESSION, ";", @(33, 8)}
[86] {PROGRAM, "program", @(35, 1)}
[87] {LOOP, "loop", @(36, 5)}
[88] {IDENTIFIER, "WrStr", @(37, 9)}
[89] {PARENTHESIS_OPEN, "(", @(37, 14)}
[90] {STRING_LITERAL, ""Input a number: "", @(37, 15)}
[91] {PARENTHESIS_CLOSE, ")", @(37, 33)}
[92] {END_OF_EXPRESSION, ";", @(37, 34)}
[93] {IDENTIFIER, "num", @(38, 9)}
[94] {ASSIGN, ":=", @(38, 13)}
[95] {IDENTIFIER, "RdInt", @(38, 16)}
[96] {PARENTHESIS_OPEN, "(", @(38, 21)}
[97] {PARENTHESIS_CLOSE, ")", @(38, 22)}
[98] {END_OF_EXPRESSION, ";", @(38, 23)}
[99] {IDENTIFIER, "WrStr", @(40, 9)}
[100] {PARENTHESIS_OPEN, "(", @(40, 14)}
[101] {STRING_LITERAL, ""Conversion to binary of that number: "", @(40, 15)}
[102] {PARENTHESIS_CLOSE, ")", @(40, 54)}
[103] {END_OF_EXPRESSION, ";", @(40, 55)}
[104] {IDENTIFIER, "WrStr", @(41, 9)}
[105] {PARENTHESIS_OPEN, "(", @(41, 14)}
[106] {IDENTIFIER, "Binary", @(41, 15)}
[107] {PARENTHESIS_OPEN, "(", @(41, 21)}
[108] {IDENTIFIER, "num", @(41, 22)}
[109] {PARENTHESIS_CLOSE, ")", @(41, 25)}
[110] {PARENTHESIS_CLOSE, ")", @(41, 26)}
[111] {END_OF_EXPRESSION, ";", @(41, 27)}
[112] {IDENTIFIER, "WrLn", @(43, 9)}
[113] {PARENTHESIS_OPEN, "(", @(43, 13)}
[114] {PARENTHESIS_CLOSE, ")", @(43, 14)}
[115] {END_OF_EXPRESSION, ";", @(43, 15)}
[116] {IDENTIFIER, "WrStr", @(45, 9)}
[117] {PARENTHESIS_OPEN, "(", @(45, 14)}
[118] {STRING_LITERAL, ""Convert another number? "", @(45, 15)}
[119] {PARENTHESIS_CLOSE, ")", @(45, 41)}
[120] {END_OF_EXPRESSION, ";", @(45, 42)}
[121] {IDENTIFIER, "option", @(46, 9)}
[122] {ASSIGN, ":=", @(46, 16)}
[123] {IDENTIFIER, "RdStr", @(46, 19)}
[124] {PARENTHESIS_OPEN, "(", @(46, 24)}
[125] {PARENTHESIS_CLOSE, ")", @(46, 25)}
[126] {END_OF_EXPRESSION, ";", @(46, 26)}
[127] {IF, "if", @(48, 9)}
[128] {IDENTIFIER, "LenStr", @(48, 12)}
[129] {PARENTHESIS_OPEN, "(", @(48, 18)}
[130] {IDENTIFIER, "option", @(48, 19)}
[131] {PARENTHESIS_CLOSE, ")", @(48, 25)}
[132] {EQUAL, "=", @(48, 27)}
[133] {INT_LITERAL, "0", @(48, 29)}
[134] {THEN, "then", @(48, 31)}
[135] {IDENTIFIER, "option", @(49, 13)}
[136] {ASSIGN, ":=", @(49, 20)}
[137] {STRING_LITERAL, ""N"", @(49, 23)}
[138] {END_OF_EXPRESSION, ";", @(49, 26)}
[139] {ELSE, "else", @(50, 9)}
[140] {IDENTIFIER, "option", @(51, 13)}
[141] {ASSIGN, ":=", @(51, 20)}
[142] {IDENTIFIER, "AtStr", @(51, 23)}
[143] {PARENTHESIS_OPEN, "(", @(51, 28)}
[144] {IDENTIFIER, "option", @(51, 29)}
[145] {COMMA, ",", @(51, 35)}
[146] {INT_LITERAL, "0", @(51, 37)}
[147] {PARENTHESIS_CLOSE, ")", @(51, 38)}
[148] {END_OF_EXPRESSION, ";", @(51, 39)}
[149] {END, "end", @(52, 9)}
[150] {END_OF_EXPRESSION, ";", @(52, 12)}
[151] {IF, "if", @(54, 9)}
[152] {IDENTIFIER, "CmpStr", @(54, 12)}
[153] {PARENTHESIS_OPEN, "(", @(54, 18)}
[154] {IDENTIFIER, "option", @(54, 19)}
[155] {COMMA, ",", @(54, 25)}
[156] {STRING_LITERAL, ""Y"", @(54, 27)}
[157] {PARENTHESIS_CLOSE, ")", @(54, 30)}
[158] {UNEQUAL, "<>", @(54, 32)}
[159] {INT_LITERAL, "0", @(54, 35)}
[160] {AND, "and", @(54, 37)}
[161] {IDENTIFIER, "CmpStr", @(54, 41)}
[162] {PARENTHESIS_OPEN, "(", @(54, 47)}
[163] {IDENTIFIER, "option", @(54, 48)}
[164] {COMMA, ",", @(54, 54)}
[165] {STRING_LITERAL, ""y"", @(54, 56)}
[166] {PARENTHESIS_CLOSE, ")", @(54, 59)}
[167] {UNEQUAL, "<>", @(54, 61)}
[168] {INT_LITERAL, "0", @(54, 64)}
[169] {THEN, "then", @(54, 66)}
[170] {EXIT, "exit", @(55, 13)}
[171] {END_OF_EXPRESSION, ";", @(55, 17)}
[172] {END, "end", @(56, 9)}
[173] {END_OF_EXPRESSION, ";", @(56, 12)}
[174] {END, "end", @(57, 5)}
[175] {END_OF_EXPRESSION, ";", @(57, 8)}
[176] {END, "end", @(58, 1)}
[177] {END_OF_EXPRESSION, ";", @(58, 4)}
[178] {EOF, "", @(59, 1)}

===== Tokens from: "test_programs/factorial.chimera" =====
[1] {VAR, "var", @(6, 1)}
[2] {IDENTIFIER, "option", @(7, 5)}
[3] {TYPE_DECLARE, ":", @(7, 11)}
[4] {STRING, "string", @(7, 13)}
[5] {END_OF_EXPRESSION, ";", @(7, 19)}
[6] {IDENTIFIER, "num", @(8, 5)}
[7] {TYPE_DECLARE, ":", @(8, 8)}
[8] {INTEGER, "integer", @(8, 10)}
[9] {END_OF_EXPRESSION, ";", @(8, 17)}
[10] {PROCEDURE, "procedure", @(10, 1)}
[11] {IDENTIFIER, "IterativeFactorial", @(10, 11)}
[12] {PARENTHESIS_OPEN, "(", @(10, 29)}
[13] {IDENTIFIER, "n", @(11, 9)}
[14] {TYPE_DECLARE, ":", @(11, 10)}
[15] {INTEGER, "integer", @(11, 12)}
[16] {END_OF_EXPRESSION, ";", @(11, 19)}
[17] {PARENTHESIS_CLOSE, ")", @(12, 5)}
[18] {TYPE_DECLARE, ":", @(12, 6)}
[19] {INTEGER, "integer", @(12, 8)}
[20] {END_OF_EXPRESSION, ";", @(12, 15)}
[21] {VAR, "var", @(14, 5)}
[22] {IDENTIFIER, "i", @(15, 9)}
[23] {COMMA, ",", @(15, 10)}
[24] {IDENTIFIER, "r", @(15, 12)}
[25] {TYPE_DECLARE, ":", @(15, 13)}
[26] {INTEGER, "integer", @(15, 15)}
[27] {END_OF_EXPRESSION, ";", @(15, 22)}
[28] {BEGIN, "begin", @(17, 5)}
[29] {IDENTIFIER, "r", @(18, 9)}
[30] {ASSIGN, ":=", @(18, 11)}
[31] {INT_LITERAL, "1", @(18, 14)}
[32] {END_OF_EXPRESSION, ";", @(18, 15)}
[33] {IDENTIFIER, "i", @(19, 9)}
[34] {ASSIGN, ":=", @(19, 11)}
[35] {INT_LITERAL, "2", @(19, 14)}
[36] {END_OF_EXPRESSION, ";", @(19, 15)}
[37] {LOOP, "loop", @(21, 9)}
[38] {IF, "if", @(22, 13)}
[39] {IDENTIFIER, "i", @(22, 16)}
[40] {MORE_THAN, ">", @(22, 18)}
[41] {IDENTIFIER, "n", @(22, 20)}
[42] {THEN, "then", @(22, 22)}
[43] {EXIT, "exit", @(22, 27)}
[44] {END_OF_EXPRESSION, ";", @(22, 31)}
[45] {END, "end", @(22, 33)}
[46] {END_OF_EXPRESSION, ";", @(22, 36)}
[47] {IDENTIFIER, "r", @(23, 13)}
[48] {ASSIGN, ":=", @(23, 15)}
[49] {IDENTIFIER, "r", @(23, 18)}
[50] {TIMES, "*", @(23, 20)}
[51] {IDENTIFIER, "i", @(23, 22)}
[52] {END_OF_EXPRESSION, ";", @(23, 23)}
[53] {IDENTIFIER, "i", @(24, 13)}
[54] {ASSIGN, ":=", @(24, 15)}
[55] {IDENTIFIER, "i", @(24, 18)}
[56] {PLUS, "+", @(24, 20)}
[57] {INT_LITERAL, "1", @(24, 22)}
[58] {END_OF_EXPRESSION, ";", @(24, 23)}
[59] {END, "end", @(25, 9)}
[60] {END_OF_EXPRESSION, ";", @(25, 12)}
[61] {RETURN, "return", @(27, 9)}
[62] {IDENTIFIER, "r", @(27, 16)}
[63] {END_OF_EXPRESSION, ";", @(27, 17)}
[64] {END, "end", @(28, 5)}
[65] {END_OF_EXPRESSION, ";", @(28, 8)}
[66] {PROCEDURE, "procedure", @(30, 1)}
[67] {IDENTIFIER, "RecursiveFactorial", @(30, 11)}
[68] {PARENTHESIS_OPEN, "(", @(30, 29)}
[69] {IDENTIFIER, "n", @(31, 9)}
[70] {TYPE_DECLARE, ":", @(31, 10)}
[71] {INTEGER, "integer", @(31, 12)}
[72] {END_OF_EXPRESSION, ";", @(31, 19)}
[73] {PARENTHESIS_CLOSE, ")", @(32, 5)}
[74] {TYPE_DECLARE, ":", @(32, 6)}
[75] {INTEGER, "integer", @(32, 7)}
[76] {END_OF_EXPRESSION, ";", @(32, 14)}
[77] {BEGIN, "begin", @(34, 5)}
[78] {IF, "if", @(35, 9)}
[79] {IDENTIFIER, "n", @(35, 12)}
[80] {LESS_THAN_EQUAL, "<=", @(35, 14)}
[81] {INT_LITERAL, "1", @(35, 17)}
[82] {THEN, "then", @(35, 19)}
[83] {RETURN, "return", @(36, 13)}
[84] {INT_LITERAL, "1", @(36, 20)}
[85] {END_OF_EXPRESSION, ";", @(36, 21)}
[86] {ELSE, "else", @(37, 9)}
[87] {RETURN, "return", @(38, 13)}
[88] {IDENTIFIER, "n", @(38, 20)}
[89] {TIMES, "*", @(38, 22)}
[90] {IDENTIFIER, "RecursiveFactorial", @(38, 24)}
[91] {PARENTHESIS_OPEN, "(", @(38, 42)}
[92] {IDENTIFIER, "n", @(38, 43)}
[93] {MINUS, "-", @(38, 45)}
[94] {INT_LITERAL, "1", @(38, 47)}
[95] {PARENTHESIS_CLOSE, ")", @(38, 48)}
[96] {END_OF_EXPRESSION, ";", @(38, 49)}
[97] {END, "end", @(39, 9)}
[98] {END_OF_EXPRESSION, ";", @(39, 12)}
[99] {END, "end", @(40, 5)}
[100] {END_OF_EXPRESSION, ";", @(40, 8)}
[101] {PROGRAM, "program", @(42, 1)}
[102] {LOOP, "loop", @(43, 5)}
[103] {IDENTIFIER, "WrStr", @(44, 9)}
[104] {PARENTHESIS_OPEN, "(", @(44, 14)}
[105] {STRING_LITERAL, ""Input a number: "", @(44, 15)}
[106] {PARENTHESIS_CLOSE, ")", @(44, 33)}
[107] {END_OF_EXPRESSION, ";", @(44, 34)}
[108] {IDENTIFIER, "num", @(45, 9)}
[109] {ASSIGN, ":=", @(45, 13)}
[110] {IDENTIFIER, "RdInt", @(45, 16)}
[111] {PARENTHESIS_OPEN, "(", @(45, 21)}
[112] {PARENTHESIS_CLOSE, ")", @(45, 22)}
[113] {END_OF_EXPRESSION, ";", @(45, 23)}
[114] {IDENTIFIER, "WrStr", @(47, 9)}
[115] {PARENTHESIS_OPEN, "(", @(47, 14)}
[116] {STRING_LITERAL, ""Iterative factorial: "", @(47, 15)}
[117] {PARENTHESIS_CLOSE, ")", @(47, 38)}
[118] {END_OF_EXPRESSION, ";", @(47, 39)}
[119] {IDENTIFIER, "WrInt", @(48, 9)}
[120] {PARENTHESIS_OPEN, "(", @(48, 14)}
[121] {IDENTIFIER, "IterativeFactorial", @(48, 15)}
[122] {PARENTHESIS_OPEN, "(", @(48, 33)}
[123] {IDENTIFIER, "num", @(48, 34)}
[124] {PARENTHESIS_CLOSE, ")", @(48, 37)}
[125] {PARENTHESIS_CLOSE, ")", @(48, 38)}
[126] {END_OF_EXPRESSION, ";", @(48, 39)}
[127] {IDENTIFIER, "WrLn", @(50, 9)}
[128] {PARENTHESIS_OPEN, "(", @(50, 13)}
[129] {PARENTHESIS_CLOSE, ")", @(50, 14)}
[130] {END_OF_EXPRESSION, ";", @(50, 15)}
[131] {IDENTIFIER, "WrStr", @(52, 9)}
[132] {PARENTHESIS_OPEN, "(", @(52, 14)}
[133] {STRING_LITERAL, ""Recursive factorial: "", @(52, 15)}
[134] {PARENTHESIS_CLOSE, ")", @(52, 38)}
[135] {END_OF_EXPRESSION, ";", @(52, 39)}
[136] {IDENTIFIER, "WrInt", @(53, 9)}
[137] {PARENTHESIS_OPEN, "(", @(53, 14)}
[138] {IDENTIFIER, "RecursiveFactorial", @(53, 15)}
[139] {PARENTHESIS_OPEN, "(", @(53, 33)}
[140] {IDENTIFIER, "num", @(53, 34)}
[141] {PARENTHESIS_CLOSE, ")", @(53, 37)}
[142] {PARENTHESIS_CLOSE, ")", @(53, 38)}
[143] {END_OF_EXPRESSION, ";", @(53, 39)}
[144] {IDENTIFIER, "WrLn", @(55, 9)}
[145] {PARENTHESIS_OPEN, "(", @(55, 13)}
[146] {PARENTHESIS_CLOSE, ")", @(55, 14)}
[147] {END_OF_EXPRESSION, ";", @(55, 15)}
[148] {IDENTIFIER, "WrStr", @(57, 9)}
[149] {PARENTHESIS_OPEN, "(", @(57, 14)}
[150] {STRING_LITERAL, ""Compute another factorial? "", @(57, 15)}
[151] {PARENTHESIS_CLOSE, ")", @(57, 44)}
[152] {END_OF_EXPRESSION, ";", @(57, 45)}
[153] {IDENTIFIER, "option", @(58, 9)}
[154] {ASSIGN, ":=", @(58, 16)}
[155] {IDENTIFIER, "RdStr", @(58, 19)}
[156] {PARENTHESIS_OPEN, "(", @(58, 24)}
[157] {PARENTHESIS_CLOSE, ")", @(58, 25)}
[158] {END_OF_EXPRESSION, ";", @(58, 26)}
[159] {IF, "if", @(60, 9)}
[160] {IDENTIFIER, "LenStr", @(60, 12)}
[161] {PARENTHESIS_OPEN, "(", @(60, 18)}
[162] {IDENTIFIER, "option", @(60, 19)}
[163] {PARENTHESIS_CLOSE, ")", @(60, 25)}
[164] {EQUAL, "=", @(60, 27)}
[165] {INT_LITERAL, "0", @(60, 29)}
[166] {THEN, "then", @(60, 31)}
[167] {IDENTIFIER, "option", @(61, 13)}
[168] {ASSIGN, ":=", @(61, 20)}
[169] {STRING_LITERAL, ""N"", @(61, 23)}
[170] {END_OF_EXPRESSION, ";", @(61, 26)}
[171] {ELSE, "else", @(62, 9)}
[172] {IDENTIFIER, "option", @(63, 13)}
[173] {ASSIGN, ":=", @(63, 20)}
[174] {IDENTIFIER, "AtStr", @(63, 23)}
[175] {PARENTHESIS_OPEN, "(", @(63, 28)}
[176] {IDENTIFIER, "option", @(63, 29)}
[177] {COMMA, ",", @(63, 35)}
[178] {INT_LITERAL, "0", @(63, 37)}
[179] {PARENTHESIS_CLOSE, ")", @(63, 38)}
[180] {END_OF_EXPRESSION, ";", @(63, 39)}
[181] {END, "end", @(64, 9)}
[182] {END_OF_EXPRESSION, ";", @(64, 12)}
[183] {IF, "if", @(66, 9)}
[184] {IDENTIFIER, "CmpStr", @(66, 12)}
[185] {PARENTHESIS_OPEN, "(", @(66, 18)}
[186] {IDENTIFIER, "option", @(66, 19)}
[187] {COMMA, ",", @(66, 25)}
[188] {STRING_LITERAL, ""Y"", @(66, 27)}
[189] {PARENTHESIS_CLOSE, ")", @(66, 30)}
[190] {UNEQUAL, "<>", @(66, 32)}
[191] {INT_LITERAL, "0", @(66, 35)}
[192] {AND, "and", @(66, 37)}
[193] {IDENTIFIER, "CmpStr", @(66, 41)}
[194] {PARENTHESIS_OPEN, "(", @(66, 47)}
[195] {IDENTIFIER, "option", @(66, 48)}
[196] {COMMA, ",", @(66, 54)}
[197] {STRING_LITERAL, ""y"", @(66, 56)}
[198] {PARENTHESIS_CLOSE, ")", @(66, 59)}
[199] {UNEQUAL, "<>", @(66, 61)}
[200] {INT_LITERAL, "0", @(66, 64)}
[201] {THEN, "then", @(66, 66)}
[202] {EXIT, "exit", @(67, 13)}
[203] {END_OF_EXPRESSION, ";", @(67, 17)}
[204] {END, "end", @(68, 9)}
[205] {END_OF_EXPRESSION, ";", @(68, 12)}
[206] {END, "end", @(69, 5)}
[207] {END_OF_EXPRESSION, ";", @(69, 8)}
[208] {END, "end", @(70, 1)}
[209] {END_OF_EXPRESSION, ";", @(70, 4)}
[210] {EOF, "", @(71, 1)}

===== Tokens from: "test_programs/hello.chimera" =====
[1] {PROGRAM, "program", @(6, 1)}
[2] {IDENTIFIER, "WrStr", @(7, 5)}
[3] {PARENTHESIS_OPEN, "(", @(7, 10)}
[4] {STRING_LITERAL, ""Hello, World!"", @(7, 11)}
[5] {PARENTHESIS_CLOSE, ")", @(7, 26)}
[6] {END_OF_EXPRESSION, ";", @(7, 27)}
[7] {IDENTIFIER, "WrLn", @(8, 5)}
[8] {PARENTHESIS_OPEN, "(", @(8, 9)}
[9] {PARENTHESIS_CLOSE, ")", @(8, 10)}
[10] {END_OF_EXPRESSION, ";", @(8, 11)}
[11] {END, "end", @(9, 1)}
[12] {END_OF_EXPRESSION, ";", @(9, 4)}
[13] {EOF, "", @(10, 1)}

===== Tokens from: "test_programs/lists.chimera" =====
[1] {VAR, "var", @(6, 1)}
[2] {IDENTIFIER, "lst", @(7, 5)}
[3] {TYPE_DECLARE, ":", @(7, 8)}
[4] {LIST, "list", @(7, 10)}
[5] {OF, "of", @(7, 15)}
[6] {INTEGER, "integer", @(7, 18)}
[7] {END_OF_EXPRESSION, ";", @(7, 25)}
[8] {IDENTIFIER, "one", @(8, 5)}
[9] {COMMA, ",", @(8, 8)}
[10] {IDENTIFIER, "two", @(8, 10)}
[11] {TYPE_DECLARE, ":", @(8, 13)}
[12] {INTEGER, "integer", @(8, 15)}
[13] {END_OF_EXPRESSION, ";", @(8, 22)}
[14] {IDENTIFIER, "s", @(9, 5)}
[15] {TYPE_DECLARE, ":", @(9, 6)}
[16] {STRING, "string", @(9, 8)}
[17] {END_OF_EXPRESSION, ";", @(9, 14)}
[18] {PROCEDURE, "procedure", @(11, 1)}
[19] {IDENTIFIER, "Print", @(11, 11)}
[20] {PARENTHESIS_OPEN, "(", @(11, 16)}
[21] {IDENTIFIER, "lst", @(12, 9)}
[22] {TYPE_DECLARE, ":", @(12, 12)}
[23] {LIST, "list", @(12, 14)}
[24] {OF, "of", @(12, 19)}
[25] {INTEGER, "integer", @(12, 22)}
[26] {END_OF_EXPRESSION, ";", @(12, 29)}
[27] {PARENTHESIS_CLOSE, ")", @(13, 5)}
[28] {END_OF_EXPRESSION, ";", @(13, 6)}
[29] {VAR, "var", @(15, 5)}
[30] {IDENTIFIER, "i", @(16, 9)}
[31] {TYPE_DECLARE, ":", @(16, 10)}
[32] {INTEGER, "integer", @(16, 12)}
[33] {END_OF_EXPRESSION, ";", @(16, 19)}
[34] {IDENTIFIER, "first", @(17, 9)}
[35] {TYPE_DECLARE, ":", @(17, 14)}
[36] {BOOLEAN, "boolean", @(17, 16)}
[37] {END_OF_EXPRESSION, ";", @(17, 23)}
[38] {BEGIN, "begin", @(19, 5)}
[39] {IDENTIFIER, "first", @(20, 9)}
[40] {ASSIGN, ":=", @(20, 15)}
[41] {TRUE, "true", @(20, 18)}
[42] {END_OF_EXPRESSION, ";", @(20, 22)}
[43] {IDENTIFIER, "WrStr", @(21, 9)}
[44] {PARENTHESIS_OPEN, "(", @(21, 14)}
[45] {STRING_LITERAL, ""{"", @(21, 15)}
[46] {PARENTHESIS_CLOSE, ")", @(21, 18)}
[47] {END_OF_EXPRESSION, ";", @(21, 19)}
[48] {FOR, "for", @(22, 9)}
[49] {IDENTIFIER, "i", @(22, 13)}
[50] {IN, "in", @(22, 15)}
[51] {IDENTIFIER, "lst", @(22, 18)}
[52] {DO, "do", @(22, 22)}
[53] {IF, "if", @(23, 13)}
[54] {IDENTIFIER, "first", @(23, 16)}
[55] {THEN, "then", @(23, 22)}
[56] {IDENTIFIER, "first", @(24, 17)}
[57] {ASSIGN, ":=", @(24, 23)}
[58] {FALSE, "false", @(24, 26)}
[59] {END_OF_EXPRESSION, ";", @(24, 31)}
[60] {ELSE, "else", @(25, 13)}
[61] {IDENTIFIER, "WrStr", @(26, 17)}
[62] {PARENTHESIS_OPEN, "(", @(26, 22)}
[63] {STRING_LITERAL, "", "", @(26, 23)}
[64] {PARENTHESIS_CLOSE, ")", @(26, 27)}
[65] {END_OF_EXPRESSION, ";", @(26, 28)}
[66] {END, "end", @(27, 13)}
[67] {END_OF_EXPRESSION, ";", @(27, 16)}
[68] {IDENTIFIER, "WrInt", @(28, 13)}
[69] {PARENTHESIS_OPEN, "(", @(28, 18)}
[70] {IDENTIFIER, "i", @(28, 19)}
[71] {PARENTHESIS_CLOSE, ")", @(28, 20)}
[72] {END_OF_EXPRESSION, ";", @(28, 21)}
[73] {END, "end", @(29, 9)}
[74] {END_OF_EXPRESSION, ";", @(29, 12)}
[75] {IDENTIFIER, "WrStr", @(30, 9)}
[76] {PARENTHESIS_OPEN, "(", @(30, 14)}
[77] {STRING_LITERAL, ""}"", @(30, 15)}
[78] {PARENTHESIS_CLOSE, ")", @(30, 18)}
[79] {END_OF_EXPRESSION, ";", @(30, 19)}
[80] {END, "end", @(31, 5)}
[81] {END_OF_EXPRESSION, ";", @(31, 8)}
[82] {PROCEDURE, "procedure", @(33, 1)}
[83] {IDENTIFIER, "Sum", @(33, 11)}
[84] {PARENTHESIS_OPEN, "(", @(33, 14)}
[85] {IDENTIFIER, "lst", @(34, 9)}
[86] {TYPE_DECLARE, ":", @(34, 12)}
[87] {LIST, "list", @(34, 14)}
[88] {OF, "of", @(34, 19)}
[89] {INTEGER, "integer", @(34, 22)}
[90] {END_OF_EXPRESSION, ";", @(34, 29)}
[91] {PARENTHESIS_CLOSE, ")", @(35, 5)}
[92] {TYPE_DECLARE, ":", @(35, 6)}
[93] {INTEGER, "integer", @(35, 8)}
[94] {END_OF_EXPRESSION, ";", @(35, 15)}
[95] {VAR, "var", @(37, 5)}
[96] {IDENTIFIER, "i", @(38, 9)}
[97] {COMMA, ",", @(38, 10)}
[98] {IDENTIFIER, "sum", @(38, 12)}
[99] {TYPE_DECLARE, ":", @(38, 15)}
[100] {INTEGER, "integer", @(38, 17)}
[101] {END_OF_EXPRESSION, ";", @(38, 24)}
[102] {BEGIN, "begin", @(40, 5)}
[103] {IDENTIFIER, "sum", @(41, 9)}
[104] {ASSIGN, ":=", @(41, 13)}
[105] {INT_LITERAL, "0", @(41, 16)}
[106] {END_OF_EXPRESSION, ";", @(41, 17)}
[107] {FOR, "for", @(43, 9)}
[108] {IDENTIFIER, "i", @(43, 13)}
[109] {IN, "in", @(43, 15)}
[110] {IDENTIFIER, "lst", @(43, 18)}
[111] {DO, "do", @(43, 22)}
[112] {IDENTIFIER, "sum", @(44, 13)}
[113] {ASSIGN, ":=", @(44, 17)}
[114] {IDENTIFIER, "sum", @(44, 20)}
[115] {PLUS, "+", @(44, 24)}
[116] {IDENTIFIER, "i", @(44, 26)}
[117] {END_OF_EXPRESSION, ";", @(44, 27)}
[118] {END, "end", @(45, 9)}
[119] {END_OF_EXPRESSION, ";", @(45, 12)}
[120] {RETURN, "return", @(47, 9)}
[121] {IDENTIFIER, "sum", @(47, 16)}
[122] {END_OF_EXPRESSION, ";", @(47, 19)}
[123] {END, "end", @(48, 5)}
[124] {END_OF_EXPRESSION, ";", @(48, 8)}
[125] {PROCEDURE, "procedure", @(50, 1)}
[126] {IDENTIFIER, "Max", @(50, 11)}
